Gene_EGGNOG	Gene_Keio	KEGG_acc	KEGG_pathway	Locus..Klebsiella.pneumoniae.Ecl8	Locus..Klebsiella.pneumoniae.RH201207	Locus..Escherichia.coli.ST131.EC958	Locus..Escherichia.coli.UPEC.ST131.NCTC13441	Locus..Escherichia.coli.BW25113..Keio.	Locus..Escherichia.coli.BW25113	Locus..Citrobacter.rodentium.ICC168	Locus..Salmonella.Typhi.Ty2	Locus..Salmonella.Typhimurium.A130	Locus..Salmonella.Typhimurium.D23580	Locus..Salmonella.Typhimurium.SL3261	Locus..Salmonella.Typhimurium.SL1344	Locus..Salmonella.Enteritidis.P125109	DEG..Salmonella.enterica.serovar.Typhi	Enterobacteriaceae..essential	Bacteria..excluding.symbionts...essential	TraDIS.Essentiality..Klebsiella.pneumoniae.Ecl8	TraDIS.Presence..Klebsiella.pneumoniae.Ecl8	TraDIS.Essentiality..Klebsiella.pneumoniae.RH201207	TraDIS.Presence..Klebsiella.pneumoniae.RH201207	TraDIS.Essentiality..Escherichia.coli.ST131.EC958	TraDIS.Presence..Escherichia.coli.ST131.EC958	TraDIS.Essentiality..Escherichia.coli.UPEC.ST131.NCTC13441	TraDIS.Presence..Escherichia.coli.UPEC.ST131.NCTC13441	EcoGene.Essentiality..Escherichia.coli.BW25113	EcoGene.Presence..Escherichia.coli.BW25113	TraDIS.Essentiality..Escherichia.coli.BW25113	TraDIS.Presence..Escherichia.coli.BW25113	TraDIS.Essentiality..Citrobacter.rodentium.ICC168	TraDIS.Presence..Citrobacter.rodentium.ICC168	TraDIS.Essentiality..Salmonella.Typhi.Ty2	TraDIS.Presence..Salmonella.Typhi.Ty2	DEG..Salmonella.enterica.serovar.Typhi.1	TraDIS.Essentiality..Salmonella.Typhimurium.A130	TraDIS.Presence..Salmonella.Typhimurium.A130	TraDIS.Essentiality..Salmonella.Typhimurium.D23580	TraDIS.Presence..Salmonella.Typhimurium.D23580	TraDIS.Essentiality..Salmonella.Typhimurium.SL3261	TraDIS.Presence..Salmonella.Typhimurium.SL3261	TraDIS.Essentiality..Salmonella.Typhimurium.SL1344	TraDIS.Presence..Salmonella.Typhimurium.SL1344	TraDIS.Essentiality..Salmonella.Enteritidis.P125109	TraDIS.Presence..Salmonella.Enteritidis.P125109
rpmD	rpmD	eco03010	Ribosome	BN373_43381	ERS227112_00885	EC958_3695	NCTC13441_00393	b3302	BW25113_3302	ROD_45201	t4083	STM_MW34151	STMMW_34151	SL3261_3389	SL1344_3389	SEN3250	1	92.9	50	-6.5	1	-6.5	1	-6.5	1	-6.5	1	1	1	0.109617473238892	1	-6.5	1	-6.5	1	1	-6.5	1	-6.5	1	-6.5	1	-1.12602472722058	1	-0.529761956050852	1
folB	folB	eco00790 / eco01100	Folate biosynthesis / Metabolic pathways	BN373_41151	ERS227112_01144	EC958_3463	NCTC13441_00634	b3058	BW25113_3058	ROD_36031	t3126	STM_MW31671	STMMW_31671	SL3261_3179	SL1344_3179	SEN3048	1	85.7	40	0.679410917471164	1	-6.5	1	-0.79800522940321	1	-1.47122745129735	1	0	1	-6.5	1	-0.321780767654923	1	-6.5	1	1	-6.5	1	-0.795707701081007	1	-6.5	1	-2.00756294336214	1	-0.996645789228442	1
ubiG	ubiG	eco00130 / eco01100 / eco01110	Ubiquinone and other terpenoid-quinone biosynthesis / Metabolic pathways / Biosynthesis of secondary metabolites	BN373_32521	ERS227112_03938	EC958_2568	NCTC13441_01476	b2232	BW25113_2232	ROD_23541	t0588	STM_MW23001	STMMW_23001	SL3261_2245	SL1344_2245	SEN2258	1	85.7	60	0.0829208889733817	1	-6.5	1	-6.5	1	-6.5	1	0	1	-6.5	1	-1.93449149321713	1	-6.5	1	1	-6.5	1	-6.5	1	-6.5	1	-2.82812574834301	1	-2.87259398193324	1
rpsT	rpsT	eco03010	Ribosome	BN373_05001	-	EC958_0156	NCTC13441_03968	b0023	BW25113_0023	ROD_00212	t0045	STM_MW00441	STMMW_00441	SL3261_0044	SL1344_0044	SEN0043	0	78.6	50	-6.5	1	NA	0	-1.72608626142467	1	-0.977035544220146	1	0	1	-6.5	1	-6.5	1	-6.5	1	0	-6.5	1	-1.32943663292212	1	-6.5	1	-6.5	1	-2.06032293184464	1
gapA	gapA	eco00010 / eco01100 / eco01110 / eco01120 / eco01130 / eco01200 / eco01230	Glycolysis / Gluconeogenesis / Metabolic pathways / Biosynthesis of secondary metabolites / Microbial metabolism in diverse environments / Biosynthesis of antibiotics / Carbon metabolism / Biosynthesis of amino acids	BN373_18191	ERS227112_03665	EC958_2001	NCTC13441_02101	b1779	BW25113_1779	ROD_12731	t1169	STM_MW12971	STMMW_12971	SL3261_1225	SL1344_1225	SEN1762	1	85.7	40	-6.5	1	-6.5	1	0.150056733609596	1	-6.5	1	0	1	-6.5	1	-6.5	1	-6.5	1	1	-6.5	1	-1.93614078435344	1	-6.5	1	-2.8735778000319	1	-1.33178937581573	1
kdsB	kdsB	eco00540 / eco01100	Lipopolysaccharide biosynthesis / Metabolic pathways	BN373_15611	ERS227112_03433	EC958_1129	NCTC13441_02971	b0918	BW25113_0918	ROD_09861	t1946	STM_MW09991	STMMW_09991	SL3261_0925	SL1344_0925	SEN0892	1	85.7	52.5	-0.935109617423848	1	-6.5	1	2.50512348696265	1	1.45917875719428	1	1	1	-6.5	1	-6.5	1	-6.5	1	1	-6.5	1	-6.5	1	-6.5	1	-6.5	1	-1.08494344764914	1
ubiH	ubiH	eco00130 / eco01100 / eco01110	Ubiquinone and other terpenoid-quinone biosynthesis / Metabolic pathways / Biosynthesis of secondary metabolites	BN373_40071	ERS227112_01323	EC958_3188	NCTC13441_00849	b2907	BW25113_2907	ROD_49261	t2975	STM_MW30171	STMMW_30171	SL3261_3033	SL1344_3033	SEN2900	1	71.4	40	0.762933158881118	1	-6.5	1	0.349486775306342	1	-0.458739066409602	1	0	1	-1.24032086682514	1	0.363901930251797	1	-3.4050714808185	1	1	-6.5	1	-1.90322672467583	1	-2.67608242893413	1	-0.255346900091712	1	-4.2238673528115	1
suhB	suhB	eco00521 / eco00562 / eco01100	Streptomycin biosynthesis / Inositol phosphate metabolism / Metabolic pathways	BN373_35221	ERS227112_00050	EC958_2844	NCTC13441_01202	b2533	BW25113_2533	ROD_24771	t0310	STM_MW25631	STMMW_25631	SL3261_2508	SL1344_2508	SEN2526	1	92.9	50	-6.5	1	-6.5	1	-2.64854176510038	1	-6.5	1	1	1	-6.5	1	0.684005205320923	1	-6.5	1	1	-6.5	1	-2.22888096362865	1	-2.57601337112427	1	-1.8870083459793	1	-3.13519011178334	1
nusB	nusB	-	-	BN373_08571	ERS227112_02719	EC958_0554	NCTC13441_03563	b0416	BW25113_0416	ROD_04651	t2445	STM_MW04881	STMMW_04881	SL3261_0412	SL1344_0412	SEN0400	1	85.7	47.5	1.61053538913841	1	-1.18819241082245	1	-6.5	1	-6.5	1	0	1	-0.757033188592372	1	-6.5	1	-6.5	1	1	-6.5	1	-6.5	1	-6.5	1	-6.5	1	-0.651647546267402	1
hemE	hemE	eco00860 / eco01100 / eco01110	Porphyrin and chlorophyll metabolism / Metabolic pathways / Biosynthesis of secondary metabolites	BN373_49941	ERS227112_01850	EC958_5108	NCTC13441_04497	b3997	BW25113_3997	ROD_37551	t3464	STM_MW41201	STMMW_41201	SL3261_4106	SL1344_4106	SEN3953	1	92.9	65	-0.226389495733296	1	-2.91298914272056	1	-3.92208030072645	1	-6.5	1	0	1	-6.5	1	-1.89733083212999	1	-6.5	1	1	-6.5	1	-2.78395443615209	1	-2.40110688417752	1	-3.94290245878378	1	-2.22424528536643	1
cca	cca	-	-	BN373_41131	ERS227112_01146	EC958_3461	NCTC13441_00636	b3056	BW25113_3056	ROD_36001	t3124	STM_MW31651	STMMW_31651	SL3261_3177	SL1344_3177	SEN3046	1	92.9	55	-2.59332389613961	1	-6.5	1	0.883384120032221	1	-1.21370807843729	1	1	1	-2.80904696976383	1	-1.48865465581399	1	-6.5	1	1	-6.5	1	-3.56789982135724	1	-6.5	1	-6.5	1	-2.76965506388551	1
