Gene_EGGNOG	Gene_Keio	KEGG_acc	KEGG_pathway	Locus..Klebsiella.pneumoniae.Ecl8	Locus..Klebsiella.pneumoniae.RH201207	Locus..Escherichia.coli.ST131.EC958	Locus..Escherichia.coli.UPEC.ST131.NCTC13441	Locus..Escherichia.coli.BW25113..Keio.	Locus..Escherichia.coli.BW25113	Locus..Citrobacter.rodentium.ICC168	Locus..Salmonella.Typhi.Ty2	Locus..Salmonella.Typhimurium.A130	Locus..Salmonella.Typhimurium.D23580	Locus..Salmonella.Typhimurium.SL3261	Locus..Salmonella.Typhimurium.SL1344	Locus..Salmonella.Enteritidis.P125109	DEG..Salmonella.enterica.serovar.Typhi	Enterobacteriaceae..essential	Bacteria..excluding.symbionts...essential	TraDIS.Essentiality..Klebsiella.pneumoniae.Ecl8	TraDIS.Presence..Klebsiella.pneumoniae.Ecl8	TraDIS.Essentiality..Klebsiella.pneumoniae.RH201207	TraDIS.Presence..Klebsiella.pneumoniae.RH201207	TraDIS.Essentiality..Escherichia.coli.ST131.EC958	TraDIS.Presence..Escherichia.coli.ST131.EC958	TraDIS.Essentiality..Escherichia.coli.UPEC.ST131.NCTC13441	TraDIS.Presence..Escherichia.coli.UPEC.ST131.NCTC13441	EcoGene.Essentiality..Escherichia.coli.BW25113	EcoGene.Presence..Escherichia.coli.BW25113	TraDIS.Essentiality..Escherichia.coli.BW25113	TraDIS.Presence..Escherichia.coli.BW25113	TraDIS.Essentiality..Citrobacter.rodentium.ICC168	TraDIS.Presence..Citrobacter.rodentium.ICC168	TraDIS.Essentiality..Salmonella.Typhi.Ty2	TraDIS.Presence..Salmonella.Typhi.Ty2	DEG..Salmonella.enterica.serovar.Typhi.1	TraDIS.Essentiality..Salmonella.Typhimurium.A130	TraDIS.Presence..Salmonella.Typhimurium.A130	TraDIS.Essentiality..Salmonella.Typhimurium.D23580	TraDIS.Presence..Salmonella.Typhimurium.D23580	TraDIS.Essentiality..Salmonella.Typhimurium.SL3261	TraDIS.Presence..Salmonella.Typhimurium.SL3261	TraDIS.Essentiality..Salmonella.Typhimurium.SL1344	TraDIS.Presence..Salmonella.Typhimurium.SL1344	TraDIS.Essentiality..Salmonella.Enteritidis.P125109	TraDIS.Presence..Salmonella.Enteritidis.P125109
grpE	grpE	-	-	BN373_35901	ERS227112_01707	EC958_2915	NCTC13441_01128	b2614	BW25113_2614	ROD_25631	t2636	STM_MW26951	STMMW_26951	SL3261_2654	SL1344_2654	SEN2602	1	64.3	42.5	-0.885033944859719	1	-6.5	1	-0.445153527496229	1	0.707804288867824	1	1	1	1.16823758273468	1	-0.534633381438533	1	-0.284394995298932	1	1	-1.06116832667019	1	-2.15699347526824	1	0.0616112431574883	1	0.762306987941849	1	0.812883921061945	1
rpmD	rpmD	eco03010	Ribosome	BN373_43381	ERS227112_00885	EC958_3695	NCTC13441_00393	b3302	BW25113_3302	ROD_45201	t4083	STM_MW34151	STMMW_34151	SL3261_3389	SL1344_3389	SEN3250	1	92.9	50	-6.5	1	-6.5	1	-6.5	1	-6.5	1	1	1	0.109617473238892	1	-6.5	1	-6.5	1	1	-6.5	1	-6.5	1	-6.5	1	-1.12602472722058	1	-0.529761956050852	1
rfaG	waaG	eco00540 / eco01100	Lipopolysaccharide biosynthesis / Metabolic pathways	BN373_46121	ERS227112_00608	EC958_4038	NCTC13441_00053	b3631	BW25113_3631	ROD_41861	t3796	STM_MW37111	STMMW_37111	SL3261_3688	SL1344_3688	SEN3544	0	14.3	10	-2.67135429123734	1	-2.73969452833452	1	3.7137761785104	1	3.56429570981554	1	0	1	5.07491893122041	1	3.31233588740259	1	4.40190526562632	1	0	3.58188991004117	1	3.69179687509743	1	4.04900606211751	1	3.32581594062377	1	3.87843640409679	1
rfaC	waaC	eco00540 / eco01100	Lipopolysaccharide biosynthesis / Metabolic pathways	BN373_46061	ERS227112_00614	EC958_4028	NCTC13441_00063	b3621	BW25113_3621	ROD_41961	t3807	STM_MW37011	STMMW_37011	SL3261_3678	SL1344_3678	SEN3534	1	42.9	30	-0.860805070206488	1	-3.53890005955751	1	-1.60595727206274	1	0.322164978219141	1	0	1	2.75667443450011	1	0.475447886329754	1	-3.14574487610681	1	1	-1.07790751002475	1	1.1195581826066	1	0.862859652979077	1	0.82255678801743	1	2.08159081743593	1
bamD	bamD	-	-	BN373_35721	ERS227112_01726	EC958_2899	NCTC13441_01145	b2595	BW25113_2595	ROD_25371	t2619	STM_MW26791	STMMW_26791	SL3261_2623	SL1344_2623	SEN2586	1	85.7	45	-6.5	1	-6.5	1	-2.7152020739173	1	-6.5	1	1	1	-6.5	1	-6.5	1	-6.5	1	1	-6.5	1	1.13109997571056	1	-6.5	1	-1.1489098934116	1	2.27156074185493	1
nrdB	nrdB	eco00230 / eco00240 / eco01100	Purine metabolism / Pyrimidine metabolism / Metabolic pathways	BN373_32541	ERS227112_03936	EC958_2572	NCTC13441_01473	b2235	BW25113_2235	ROD_23561	t0586	STM_MW23021	STMMW_23021	SL3261_2247	SL1344_2247	SEN2260	1	85.7	55	-1.55406619243747	1	-6.5	1	-6.5	1	-2.26440359129022	1	1	1	-1.81543443052502	1	1.33878312657916	1	-2.55253278283224	1	1	-6.5	1	-6.5	1	2.23008894348874	1	-2.45885565850493	1	-0.0413470306847581	1
dnaQ	dnaQ	eco00230 / eco00240 / eco01100 / eco03030 / eco03430 / eco03440	Purine metabolism / Pyrimidine metabolism / Metabolic pathways / DNA replication / Mismatch repair / Homologous recombination	BN373_07151	ERS227112_02570	EC958_0358	NCTC13441_03761	b0215	BW25113_0215	ROD_02201	t2601	STM_MW02631	STMMW_02631	SL3261_0259	SL1344_0259	SEN0266	1	78.6	50	-1.35120074368079	1	-6.5	1	0.263180448167919	1	-1.38850668168583	1	0	1	-0.0636360987952947	1	-6.5	1	-6.5	1	1	-6.5	1	-0.571446006474108	1	-2.63188810399547	1	-0.176180130299984	1	1.12449065525783	1
mreB	mreB	-	-	BN373_43001	ERS227112_00947	EC958_3642	NCTC13441_00449	b3251	BW25113_3251	ROD_45651	t3289	STM_MW33721	STMMW_33721	SL3261_3346	SL1344_3346	SEN3207	1	85.7	57.5	-2.36180951622232	1	-0.275409864413051	1	0.0851127406340664	1	-6.5	1	1	1	-6.5	1	-0.0333483455220865	1	-2.51859847639666	1	1	-2.17132556657933	1	-1.83907727946276	1	0.301971174906211	1	-0.438484703561254	1	-0.0499846726696165	1
gapA	gapA	eco00010 / eco01100 / eco01110 / eco01120 / eco01130 / eco01200 / eco01230	Glycolysis / Gluconeogenesis / Metabolic pathways / Biosynthesis of secondary metabolites / Microbial metabolism in diverse environments / Biosynthesis of antibiotics / Carbon metabolism / Biosynthesis of amino acids	BN373_18191	ERS227112_03665	EC958_2001	NCTC13441_02101	b1779	BW25113_1779	ROD_12731	t1169	STM_MW12971	STMMW_12971	SL3261_1225	SL1344_1225	SEN1762	1	85.7	40	-6.5	1	-6.5	1	0.150056733609596	1	-6.5	1	0	1	-6.5	1	-6.5	1	-6.5	1	1	-6.5	1	-1.93614078435344	1	-6.5	1	-2.8735778000319	1	-1.33178937581573	1
kdsB	kdsB	eco00540 / eco01100	Lipopolysaccharide biosynthesis / Metabolic pathways	BN373_15611	ERS227112_03433	EC958_1129	NCTC13441_02971	b0918	BW25113_0918	ROD_09861	t1946	STM_MW09991	STMMW_09991	SL3261_0925	SL1344_0925	SEN0892	1	85.7	52.5	-0.935109617423848	1	-6.5	1	2.50512348696265	1	1.45917875719428	1	1	1	-6.5	1	-6.5	1	-6.5	1	1	-6.5	1	-6.5	1	-6.5	1	-6.5	1	-1.08494344764914	1
